Year,T,H,P
1991,20.94,8.32,0
1991,18.43,8.65,0
1991,17.73,8.36,0
1991,18.68,8.37,0
1991,22.16,7.26,0
1991,24.51,7.11,0
1991,24.89,7.78,0
1991,24.42,8.01,0.03
1991,24.2,9.87,0.23
1991,24.64,9.86,0.07
1991,25.03,12.72,0.15
1991,21.53,11.84,0.17
1991,21.24,11.25,0
1991,22.03,10.95,0
1991,21.93,10.1,0
1991,21.39,9.32,0
1991,21.53,8.96,0
1991,22.79,7.87,0
1991,24.91,7.15,0
1991,26.64,7.24,0
1991,26.57,8.83,0
1991,24.65,9.99,0
1991,22.92,10.06,0
1991,21.6,9.21,0
1991,19.37,7.87,0
1991,20.88,7.03,0
1991,22.23,6.52,0
1991,23.23,7.24,0
1991,23.69,7.7,0
1991,25.86,7.67,0
1991,25.28,9.51,0.02
1991,24.77,9.6,0
1991,24.54,8.92,0.39
1991,23.71,10.48,0.43
1991,21.94,9.97,0.09
1991,21.06,9.21,0.01
1991,19.23,9.15,0
1991,16.84,9.01,0
1991,16.47,7.54,0
1991,18.48,8.1,0
1991,18.85,8.48,0
1991,18.8,8.58,0.01
1991,19.58,8.61,0
1991,21.08,8.23,0
1991,24.29,7.65,0
1991,24.93,5.91,0
1991,23.03,7.55,0
1991,23.51,8.69,0.01
1991,22.67,10.27,0.06
1991,22.9,10.42,0.09
1991,24.47,10.66,0.11
1991,25.62,9.83,0.07
1991,26.75,8.58,0.08
1991,25.77,8.93,0.04
1991,24.05,10.02,0.27
1991,23.75,8.97,0.07
1991,23.35,9.22,0.65
1991,22.29,9.74,0.01
1991,25.22,8.59,0
1991,27.92,6.27,0.01
1991,27.15,6.62,0
1991,24.23,8.52,0
1991,22.68,8.82,0
1991,21.69,8.56,0
1991,21.93,8.46,0
1991,24.86,7.27,0
1991,25.55,7.18,0
1991,26.94,6.01,0
1991,28.6,5.38,0
1991,25.91,7.08,0.11
1991,23.62,8.66,0
1991,23.07,8.86,0
1991,24.77,6.41,0
1991,23.58,6.03,0
1991,20.86,8.29,0
1991,19.86,8.87,0
1991,23.46,6.1,0
1991,24.51,5.21,0
1991,22.89,5.58,0
1991,19.21,7.74,0.06
1991,17.03,9.31,0.06
1991,15.99,8.87,0.11
1991,14.97,6.75,0
